rows,mode,size
100000,parquet,1227135
100000,msgpack,1000455
100000,HD5,3265368
100000,pickle.gzip,152390
100000,feather,1300264
10000000,parquet,80613012
10000000,msgpack,100000455
10000000,HD5,221132928
10000000,pickle.gzip,15117460
10000000,feather,130000264
